"國別地區","movie_name","上映日期","tickets","money","year","month"
"中國大陸","一直一直都很喜歡你",2023-06-30,771,192268,2023,7
"泰國","幽魂娜娜：重生",2023-06-30,4311,1080807,2023,7
"美國","變身少女露比",2023-06-30,8105,1972307,2023,7
"日本","SSSS.DYNAZENON 劇場總集篇",2023-06-30,510,121844,2023,7
"日本","惡靈古堡：死亡島",2023-06-29,3942,1024441,2023,7
"美國","印第安納瓊斯：命運輪盤",2023-06-29,55627,15277819,2023,7
"美國","元素方城市",2023-06-28,93542,23553955,2023,7
"香港","命案",2023-06-26,1158,278403,2023,7
"日本","SEE HEAR LOVE 看不見聽不見也愛你",2023-06-25,2591,652987,2023,7
"香港","別叫我”賭神”",2023-06-21,713,167215,2023,7
"南韓","貴公子",2023-06-21,3462,840599,2023,7
"日本","SSSS. GRIDMAN 劇場總集篇",2023-06-21,96,22875,2023,7
"德國","淨化論",2023-06-21,259,58990,2023,7
"日本","她喜歡的是",2023-06-21,31,7690,2023,7
"南韓","蝙蝠：血色情慾 數位修復版",2023-06-21,41,8420,2023,7
"美國","小行星城",2023-06-21,3299,807319,2023,7
"美國","蜘蛛人：穿越新宇宙",2023-06-21,62912,16092322,2023,7
"中華民國","化劫",2023-06-20,21082,5173833,2023,7
"摩洛哥","雙手的溫柔",2023-06-16,76,15415,2023,7
"中華民國","溟溟",2023-06-16,20,4740,2023,7
"荷蘭","惡靈魔洛剋",2023-06-16,6,1520,2023,7
"美國","義美超級爸",2023-06-16,64,14330,2023,7
"美國","大愚樂家",2023-06-16,66,14450,2023,7
"美國","閃電俠",2023-06-14,29327,7494091,2023,7
"日本","超人力霸王德卡 最終章 朝向旅程的彼方‧‧‧",2023-06-10,1823,462790,2023,7
"日本","六月之蛇",2023-06-09,1,180,2023,7
"日本","BLUE GIANT 藍色巨星",2023-06-09,4958,1282113,2023,7
"挪威","為你鍾琴",2023-06-09,66,18210,2023,7
"中華民國","南方，寂寞鐵道",2023-06-09,2822,643547,2023,7
"泰國","阿諾是個模範生",2023-06-09,6,1130,2023,7
"法國","聖奧梅爾殺嬰案",2023-06-09,13,2620,2023,7
"美國","深夜加油站遇見蘇格拉底",2023-06-09,37,8030,2023,7
"美國","變形金剛：萬獸崛起",2023-06-07,22031,5557746,2023,7
"伊朗","這裡沒有熊",2023-06-03,5,1120,2023,7
"伊朗","三張面孔",2023-06-03,7,1540,2023,7
"南韓","犯罪都市3",2023-06-02,1542,379449,2023,7
"法國","烈火浩劫",2023-06-02,10,2240,2023,7
"美國","催眠狙擊",2023-06-02,19,4830,2023,7
"美國","鬼出櫃",2023-06-02,21,5590,2023,7
"日本","新．假面騎士",2023-05-31,67,15840,2023,7
"義大利","禁忌的畫像：卡拉瓦喬之影",2023-05-26,2,220,2023,7
"美國","小美人魚",2023-05-24,1558,371781,2023,7
"加拿大","烈火焚身",2023-05-19,11,1900,2023,7
"中華民國","消失的紫斑蝶",2023-05-19,106,24010,2023,7
"美國","玩命關頭 X",2023-05-17,7481,1927428,2023,7
"日本","我的幸福婚約",2023-05-12,21,4940,2023,7
"捷克","神鬼聖戰",2023-05-12,178,9790,2023,7
"日本","金之國水之國",2023-05-12,7,1880,2023,7
"泰國","邪厄",2023-05-12,31,6140,2023,7
"美國","上流謀殺案",2023-05-05,121,6655,2023,7
"日本","指尖上綻放的愛",2023-05-05,69,3795,2023,7
"法國","燃燒的玫瑰",2023-05-05,117,25270,2023,7
"美國","星際異攻隊3",2023-05-03,291,73770,2023,7
"中華民國","速命道",2023-04-27,39,5020,2023,7
"日本","電影版 佐佐木與宮野 畢業篇",2023-04-21,18,4770,2023,7
"中華民國","不能流淚的悲傷",2023-04-21,113,6215,2023,7
"法國","詭樓",2023-04-21,7,910,2023,7
"美國","鬼玩人：復活",2023-04-20,168,9240,2023,7
"美國","AIR",2023-04-05,253,32610,2023,7
"美國","超級瑪利歐兄弟電影版",2023-04-05,2969,709140,2023,7
"中華民國","做工的人電影版",2023-03-31,813,76233,2023,7
"日本","鏡之孤城",2023-03-31,643,160819,2023,7
"美國","龍與地下城：盜賊榮耀",2023-03-29,239,13145,2023,7
"中華民國","守護黑面琵鷺",2023-03-24,48,10560,2023,7
"中華民國","九槍",2023-03-14,52,12480,2023,7
"日本","鈴芽之旅",2023-02-25,1034,255153,2023,7
"俄羅斯","胡桃鉗與魔笛公主的奇幻冒險",2023-02-24,80,9580,2023,7
"中華民國","關於我和鬼變成家人的那件事",2023-02-10,636,71615,2023,7
"英國","日麗",2023-02-10,11,1240,2023,7
"中華民國","山椒魚來了",2023-02-10,178,38550,2023,7
"南韓","對我而言，你是珍貴的",2023-02-03,130,28600,2023,7
"日本","灌籃高手 THE FIRST SLAM DUNK",2023-01-13,742,164787,2023,7
"日本","巧虎電影　巧虎與塔魯王子",2023-01-13,112,27912,2023,7
"美國","鞋貓劍客 2",2022-12-30,28,2840,2023,7
"日本","心情直播不NG",2022-12-28,0,0,2023,7
"美國","阿凡達：水之道",2022-12-14,407,30625,2023,7
"英國","瘋狂富作用",2022-11-21,3,690,2023,7
"南韓","分手的決心",2022-07-15,215,49964,2023,7
"美國","超級救援狗",2022-07-10,0,0,2023,7
"美國","深海獵奇",2022-07-09,0,0,2023,7
"南韓","親切的金子",2018-06-15,18,3650,2023,7
"南韓","我要復仇",2018-06-15,1,200,2023,7
"日本","有頂天大飯店",2009-01-16,2,420,2023,7
"南韓","原罪犯",2005-10-14,0,0,2023,7
"香港","霸王別姬",1993-12-10,13,2740,2023,7
"日本","SEE HEAR LOVE 看不見聽不見也愛你",2023-06-25,1120,358400,2023,6
"南韓","貴公子",2023-06-21,10413,2502185,2023,6
"日本","SSSS. GRIDMAN 劇場總集篇",2023-06-21,650,157942,2023,6
"香港","別叫我”賭神”",2023-06-21,2974,710842,2023,6
"南韓","蝙蝠：血色情慾 數位修復版",2023-06-21,118,27165,2023,6
"美國","小行星城",2023-06-21,5625,1412840,2023,6
"德國","淨化論",2023-06-21,796,182546,2023,6
"日本","她喜歡的是",2023-06-21,223,54700,2023,6
"美國","蜘蛛人：穿越新宇宙",2023-06-21,110238,29124270,2023,6
"中華民國","化劫",2023-06-20,45923,11335893,2023,6
"中華民國","溟溟",2023-06-16,226,53587,2023,6
