movie_name,Page.Name,Page.Category,Page.Description,Post.Created.Date,Message,URL,Total.Interactions
咒,Ani-One,ENTERTAINMENT_SITE,"✨Ani-One中文官方動畫頻道✨
香港羚邦集團旗下動畫品牌
更貼地的推動香港、台灣等中文地區的動漫文化，提供與日本同步跟播的新番，及廣為人知的經典舊作，亦帶來更多配音動畫及與其他原創節目。",2021-06-07,"Ani-One小編化身正字特警! 仲讀緊宿""""""""難"""""""" 或者宿""""""""灘""""""""?? 錯晒啦 ❌❌ 想知宿儺個「儺」點讀快D禁入去睇下啦! 宿儺正音傳送門: https://hk.appledaily.com/entertainment/20210607/7HV7NIEWSNFR3CDRKSM6OE3NII/ #咒術迴戰 #JujutsuKaisen #AniOne #兩面宿儺 #Appledaily",https://www.facebook.com/1790361437866898/posts/3145597279009967,2
咒,東台灣。旅行趣,TRAVEL_SITE,就愛美食、就愛旅遊，收集各種最新訊息，走遍台灣東部各個角落，處處有?,2022-04-29,大家都看過咒了嗎⁉ https://bit.ly/3Mzrk3S:=:https://taiwan.sharelife.tw/article_aid-19708.html 劇情驚悚恐怖 但你知道在哪拍的嗎⁉ #咒 ➖➖ 加入社團與我們互動👉http://bit.ly/34mQgoW:=:https://www.facebook.com/groups/itawan.sharelife/about/ Line生活圈👉https://bit.ly/2JXDPGv:=:https://page.line.me/ujm3260q 我們的IG👉https://bit.ly/2I53Cek:=:https://www.instagram.com/sharelife.tw/ 更多旅遊資訊都在 #ShareLife 👉 https://bit.ly/2J0PTJ,https://www.facebook.com/799609806770370/posts/5268005459930760,2
咒,Life730,MEDIA_NEWS_COMPANY,"分享生活小貼士，搜羅消閒玩樂情報
Enjoy Life，Like AMLife",2022-11-02,即刻睇下有咩玩➡https://bit.ly/3T22o7L:=:https://www.am730.com.hk/%E7%94%9F%E6%B4%BB/%E6%97%A5%E6%9C%AC%E6%97%85%E9%81%8A-usj%E9%99%90%E5%AE%9A-%E5%92%92%E8%A1%93%E8%BF%B4%E6%88%B0-%E5%85%A8%E6%94%BB%E7%95%A5-4d%E9%9B%BB%E5%BD%B1-%E5%BF%85%E8%B2%B7%E9%80%B1%E9%82%8A-%E5%92%92%E8%A1%93%E9%AB%98%E5%B0%88%E9%A3%9F%E5%A0%82/345802 #USJ #咒術迴戰 #大阪 #環球影城 #期間限定,https://www.facebook.com/100063719473818/posts/530142665786378,2
咒,旅遊超爽的！,none,"",2022-04-25,超人氣恐怖電影「[#咒」的取景地點之一](https://www.facebook.com/hashtag/%E5%92%92?__eep__=6&__cft__[0]=AZXxst41GfvY6lcnBA35ak2b8afvJ9PybZcwVaXARL8rMEGh3jA0gsb7jqj-yvssK6kPvWXyGevymAPhXZSLWZP-lX8BshX-I8d-GykoVpdcD1KxT_POf2q0hfYWwQS1ommOsA2ZlkhNnhc12gyKMo-CQaR-bDniUoxPJCyfY4EH-qgnM8KwNw1cZH8iOWcpoFA&__tn__=*NK-R) 看完再來特別陰森呢XD,https://www.facebook.com/groups/1091589394319316/permalink/2669358316542408,2
咒,潮流集合 #TagPopular,ACTIVITY_GENERAL,Tagcircle繼日本集合、女生集合後，全新平台《潮流集合 #TagPopular》，網羅各種潮流資訊，為你介紹最新潮流趨勢及新品。,2022-03-25,今個週末就去看吧！ #潮流集合 #TagPopular #咒 ======================== ⚡️想知更多最潮情報、流行新玩意，記得留意住潮流集合！ 記得於網頁版Cover Photo下方「讚好/LIKE」旁的「追蹤中」設定為「搶先看」！ 🎮如果有任何新潮玩意、識飲識食或合作等等，歡迎Inbox或 #TagPopular 💥潮流集合會在不同媒體介紹這些精彩內容給廣大讀者，期待各位的投稿,https://www.facebook.com/763086750534072/posts/2108059726036761,2
咒,P.E.STYLE,MEDIA_NEWS_COMPANY,"合作/投稿 請電郵至: press@pestyle.hk
廣告查詢 請電郵至: advertising@playeateasy.com
【誠邀】美妝時裝編輯 (兼職/全職/實習) 有意請電郵至h",2022-08-02,| #PE電影熱話﻿ | 風靡全球的台灣恐怖電影！ | • — — • • • • • — — • — — • — • • • 只是短短1個月時間，台灣電影《咒》已經登上台灣、香港、日本、印尼和新加坡的冠軍寶座，掀起社會大眾的熱烈討論，而且甚至刷新恐怖電影的極限，許多觀眾認為這是台灣史上最為恐怖的電影，而且真實程度甚至讓人不敢觀賞。那麼《咒》為何能夠讓人如此期待？導演將會如何揭露人類深層恐懼？ • — — • • • • • — — • — — • — • • • #Netflix #咒,https://www.facebook.com/1506247482785052/posts/5282424138500682,2
咒,Yahoo奇摩遊戲,MEDIA_NEWS_COMPANY,"所有遊戲新知都在Yahoo奇摩遊戲頻道！
https://games.yahoo.com.tw/",2023-03-02,咒營造的氣氛真的很讚~ 假日上網飛再重看回顧一下好了~ #死亡擱淺2 #小島秀夫 #咒 相關連結：https://ppt.cc/fnZnbx:=:https://games.yahoo.com.tw/ds2twcurse-013803892.html,https://www.facebook.com/507913705986975/posts/5640626536048974,2
咒,數碼乜乜乜,NEWS_SITE,"可能係全香港最快最新嘅中文數碼科技新聞頻道！

請鎖定香港新浪數碼頻道: http://www.sina.com.hk/tech/",2022-05-06,為電影《劇場版 #咒術迴戰 0》上映前預熱！ -------------------- 讚好並追蹤「數碼乜乜乜」專頁 按「追蹤中」（Following）按鈕，選擇「搶先看」（See First），即時接收最新的數碼科技動漫電影等資訊！,https://www.facebook.com/149811878415857/posts/5230581303672197,2
咒,東森美洲電視 ETTV America Corp.,TV_NETWORK,全球視野盡在東森美洲電視 ETTV,2022-03-23,"DC超級英雄電影""""""""蝙蝠俠"""""""" 第3週上映以3,600萬美金奪下票房冠軍 「週末 電影票房 排行榜」出爐，DC超級英雄電影「蝙蝠俠」，第 3週奪下票房冠軍。而日本動畫冒險片「咒術迴戰0」 和動作冒險片「秘境探險」，分別拿下 第二、和 第三名。 #逍遙上路 #X #秘境探險 #咒術迴戰0 #蝙蝠俠",https://www.facebook.com/134783568415/posts/10159791669733416,2
咒,鏡週刊,MEDIA_NEWS_COMPANY,《鏡週刊》以「鏡」為名，務求反映事實、時代與人性，一直與你並肩，挖掘真相，鏡往開來。,2022-01-22,台灣粉絲終於有機會一起施咒啦！（灑花 #劇場版 #咒術迴戰 👉加鏡會員看獨家內容 ➜ https://reurl.cc/qmoLK3 👉加鏡LINE新聞不漏接 ➜ https://line.me/R/ti/p/@cuk1273e:=:https://page.line.me/cuk1273e,https://www.facebook.com/1855418728011324/posts/3347304298822752,2
